pointid;plz;ort;strasse;zusatztext;gefoerdert_jahr;note1;note2;bundesland;Breitenangabe;Längenangabe;;
36;3495;Rohrendorf;Obere Hauptstraße 6;;2006;Maximundus;Maximundus,3495, Rohrendorf;N;48.419.126;15.656.812;;
37;3601;Dürnstein;;neben Fußballplatz Dürnstein, Nähe Kuenringerbad Dürnstein;2005;Naturnaher Kinderspielplatz;Naturnaher Kinderspielplatz,3601, Dürnstein;N;48.387.097;15.526.506;;
38;2824;Seebenstein;Hauptstraße 1;vis-a-vis Gemeindeamt, Eingang Naturpark;2002;Naturnaher Spielplatz;Naturnaher Spielplatz,2824, Seebenstein;N;47.698.988;16.144.205;;
39;3243;St.Leonhard am Forst;Hauptplatz 1;im Schlosspark;2004;Naturnaher Spielplatz im Schlosspark;Naturnaher Spielplatz im Schlosspark,3243, St.Leonhard am Forst;N;48.142.658;15.285.345;;
40;3580;St. Bernhard;St. Bernhard 56;;2002;Naturnaher Spielplatz St. Bernhard;Naturnaher Spielplatz St. Bernhard,3580, St. Bernhard;N;48.686.806;15.598.090;;
41;2522;Oberwaltersdorf;Fabrikstraße;;;Naturspielplatz;Naturspielplatz,2522, Oberwaltersdorf;N;47.978.899;16.320.037;;
42;3331;Kematen an der Ybbs;;im Rückstaubereich des Kraftwerkes Dorfmühle gelegen;2003;Naturspielplatz beim Ybbs-Naturbad Kematen;Naturspielplatz beim Ybbs-Naturbad Kematen,3331, Kematen an der Ybbs;N;48.028.479;14.773.292;;
43;2822;Erlach;Hauptstraße 97;neben Wohnhausanlage Brunn;2002;Robinson Erlebnisspielplatz;Robinson Erlebnisspielplatz,2822, Erlach;N;47.725.995;16.190.597;;
44;3003;Gablitz;Hauersteigstraße ;im Waldbereich;2006;Robinsonspielplatz;Robinsonspielplatz,3003, Gablitz;N;48.226.108;16.143.832;;
45;3701;Großweikersdorf;;Kugelbergweg;2002;Robinsonspielplatz;Robinsonspielplatz Kinderspielplatz,3701, Großweikersdorf;N;48.467.419;15.978.842;;
46;2172;Schrattenberg;;im Ortsteil Zwölfquanten;2003;Schrattenberger Spielparadies;Schrattenberger Spielparadies,2172, Schrattenberg;N;48.724.138;16.722.201;;
47;2452;Mannersdorf am Leithagebirge;;;2004;Spielplatz Am Stadtpark;Spielplatz Am Stadtpark,2452, Mannersdorf am Leithagebirge;N;47.976.634;16.611.133;; 
48;3580;Mödring/Pernegg;;zwischen Mödring und Pernegg, 5 km nördlich von Horn, direkt an der B4,neben Gastwirtschaft, www.gallien.at;;Spielplatz Gallien 1;Spielplatz Gallien 1,3580, Mödring/Pernegg;N;48.712.475;15.657.241;;
49;2823;Pitten;;in Leiding am Mittereck;2005;Spielplatz Häußchen klein steht nicht allein;Spielplatz Häußchen klein steht nicht allein,2823, Pitten;N;47.696.614;16.192.554;;
50;2020;Hollabrunn;;am Anger in der KG Altenmarkt im Thale;2005;Spielplatz Altenmarkt;Spielplatz Altenmarkt,2020, Hollabrunn;N;48.580.496;16.192.652;;
51;3250;Bodensdorf;;Wieselburg, zwischen Aigner Teich und kleinen Erlauf;2001;Spielplatz am Aigner Teich;Spielplatz am Aigner Teich,3250, Bodensdorf, Wieselburg - Land;N;48.118.524;15.122.770;;
52;2152;Gnadendorf;Nr. 106;direkt im Anschluss an die Volksschule;2003;Spielplatz am Anger;Spielplatz am Anger,2152, Gnadendorf;N;48.615.016;16.398.320;;
53;3224;Mitterbach am Erlaufsee;Hauptstraße 9;;2002;Spielplatz am Dorfplatz;Spielplatz am Dorfplatz,3224, Mitterbach am Erlaufsee;N;47.813.613;15.294.227;;
54;2763;Muggendorf;Am Kirchensteig;;2006;Spielplatz am Kirchensteig;Spielplatz am Kirchensteig,2763, Muggendorf;N;15.294.227;15.939.796;;
55;2372;Gießhübl;Perlhofgasse 2b;;2004;Spielplatz am Perlhof;Spielplatz am Perlhof,2372, Gießhübl;N;48.098.903;16.254.133;;
56;2751;Matzendorf-Hölles;;Entlang des Erlenweges;2005;Spielplatz am Rodelberg;Spielplatz am Rodelberg,2751, Matzendorf-Hölles;N;47.892.796;16.226.180;;
57;2571;Altenmarkt an der Triesting;Nr. 125;neben Kindergarten;2004;Spielplatz am Sportplatz;Spielplatz am Sportplatz,2571, Altenmarkt an der Triesting;N;48.014.910;16.000.806;;
58;3130;Herzogenburg;Auring 13;;2004;Spielplatz am Sportplatzgelände;Spielplatz am Sportplatzgelände,3130, Herzogenburg;N;48.287.496;15.700.440;;
59;3454;Sitzenberg-Reidling;;;2004;Spielplatz am Teichgelände;Spielplatz am Teichgelände,3454, Sitzenberg-Reidling;N;48.318.925;15.808.567;;
60;3041;Asperhofen;Tullner Straße Nr. 8;in der Johannesgasse, zwischen Johannesgasse und Tullner Straße neben Gasthaus Fenzl;2004;Spielplatz Asperhofen;Spielplatz Asperhofen,3041, Asperhofen;N;48.244.686;15.927.003;;
61;2214;Auersthal;Sportring 16-18;;2002;Spielplatz Auersthal;Spielplatz Auersthal,2214, Auersthal;N;48.380.392;16.628.949;;
62;2680;Semmering;;direkt auf der Passhöhe bei Schilift;2002;Spielplatz auf der Passhöhe;Spielplatz auf der Passhöhe,2680, Semmering;N;47.632.694;15.828.949;;
63;3142;Weißenkirchen/Perschling;Weißenkirchnerstraße 5;;2006;Spielplatz auf der Sportanlage;Spielplatz auf der Sportanlage,3142, Weißenkirchen/Perschling;N;48.261.530;15.795.084;;
64;2540;Bad Vöslau;Am Viertelgraben;;2003;Spielplatz Bad Vöslau;Spielplatz Bad Vöslau,2540, Bad Vöslau;N;47.961.488;16.222.984;;
65;3861;Eggern;;zwischen Tennisplatz u. Badeteich;;Spielplatz bei Badeteich;Spielplatz bei Badeteich,3861, Eggern;N;48.912.194;15.138.941;;
