Bezirk;Anrede;KdgBezeichnung;KdgAdrPLZ;KdgAdrOrt;Gruppen;Tel;KdgAdrStr;DST
Zwettl;NÖ Landeskindergarten;Pölla, Neupölla;3593;Neupölla 4;2;0664/9643071;;322017
Zwettl;NÖ Landeskindergarten;Rappottenstein;3911;Rappottenstein;3;02828/8304;Rappottenstein 10b;322018
Zwettl;NÖ Landeskindergarten;Schönbach;3633;Schönbach;1;02827/7114;Schönbach 2a;322021
Zwettl;NÖ Landeskindergarten;Schwarzenau;3900;Schwarzenau;3;02849/2402;Schulgasse 11;322022
Zwettl;NÖ Landeskindergarten;Schweiggers;3931;Schweiggers;3;02829/8273;Am Schulberg 3;322023
Zwettl;NÖ Landeskindergarten;Bad Traunstein;3632;Bad Traunstein;3;02878/672221;Schulgasse 5;322024
Zwettl;NÖ Landeskindergarten;Waldhausen;3914;Waldhausen;2;02877/737020;Waldhausen 54a;322025
Zwettl;NÖ Landeskindergarten;Zwettl;3910;Zwettl;4;02822/52746;Hammerweg 3;322026
Zwettl;NÖ Landeskindergarten;Zwettl, Stift;3910;Zwettl;2;02822/52910;Waldrandsiedlung 136;322027
Zwettl;NÖ Landeskindergarten;Zwettl, Friedersbach;3533;Friedersbach 86;2;02822/76407;;322028
Zwettl;NÖ Landeskindergarten;Zwettl, Groß Globnitz;3910;Großglobnitz;2;02823/320;Groß Globnitz 50;322029
Zwettl;NÖ Landeskindergarten;Zwettl, Jagenbach;3923;Jagenbach 88;1;02829/8231;;322030
Zwettl;NÖ Landeskindergarten;Zwettl, Oberstrahlbach;3910;Oberstrahlbach 51;1;02822/54926;Oberstrahlbach 51;322031
Zwettl;NÖ Landeskindergarten;Zwettl, Rieggers;3931;Rieggers;1;02829/7444;Rieggers 70;322032
Zwettl;NÖ Landeskindergarten;Zwettl, Marbach am Walde 95;3911;Marbach am Walde 95;2;02828/7302;;322033
Zwettl;NÖ Landeskindergarten;Groß Gerungs, KG II;3920;Groß Gerungs;3;02812/5405;Gröblingerstraße 336;322034
Zwettl;NÖ Landeskindergarten;Groß Gerungs, Etzen;3920;Etzen 22;2;02812/51535;;322035
Zwettl;NÖ Landeskindergarten;Sallingberg;3525;Sallingberg;2;02877/8350;Sportplatzstraße 3;322045
Zwettl;NÖ Landeskindergarten;Zwettl;3910;Zwettl;2;02822/540203;Nordweg 45;322046
Zwettl;NÖ Landeskindergarten;Arbesbach, Purrath;3925;Purrath;1;02813/547;Purrath 19;322101
Zwettl;NÖ Landeskindergarten;Altmelon, VS;3925;Altmelon;1;0681/20425380;Altmelon 49;322103
St. Pölten-Stadt;NÖ Landeskindergarten;St. Pölten, Am Eisberg;3100;St. Pölten;2;02742/32362;Goethestraße 32;323001
St. Pölten-Stadt;NÖ Landeskindergarten;St. Pölten;3100;St. Pölten;2;02742/32363;Klostergasse 19;323003
St. Pölten-Stadt;NÖ Landeskindergarten;St. Pölten;3100;St. Pölten;2;02742/32365;Maria-Theresiastraße 32;323005
St. Pölten-Stadt;NÖ Landeskindergarten;St. Pölten;3100;St. Pölten;3;02742/32360;Mühlweg 30;323006
St. Pölten-Stadt;NÖ Landeskindergarten;St. Pölten;3100;St. Pölten;6;02742/32366;Pernerstorferplatz 14;323007
St. Pölten-Stadt;NÖ Landeskindergarten;St. Pölten;3100;St. Pölten;4;02742/32359;Heinrich Schneidmadlstr. 9;323008
St. Pölten-Stadt;NÖ Landeskindergarten;St. Pölten;3100;St. Pölten;2;02742/32357;Hubert Schnofl-Platz 8;323009
St. Pölten-Stadt;NÖ Landeskindergarten;St. Pölten, Harland;3104;Harland;3;02742/32371;Nachtigallgasse 13;323011
St. Pölten-Stadt;NÖ Landeskindergarten;St. Pölten, Oberwagram;3100;Oberwagram;3;02742/32358;Nielgasse 5;323012
St. Pölten-Stadt;NÖ Landeskindergarten;St. Pölten, Pottenbrunn;3140;Pottenbrunn;4;02742/32352;Alte Hofmühlgasse 7;323013
St. Pölten-Stadt;NÖ Landeskindergarten;St. Pölten, Radlberg;3105;Unterradlberg;2;02742/32351;Hauptstraße 117;323014
St. Pölten-Stadt;NÖ Landeskindergarten;St. Pölten, Ratzersdorf;3100;Ratzersdorf;1;02742/32353;Ratzersdorfer Hauptstraße 85;323015
St. Pölten-Stadt;NÖ Landeskindergarten;St. Pölten, Schwaighof;3100;St. Pölten;4;02742/32367;Sensengasse 2;323016
St. Pölten-Stadt;NÖ Landeskindergarten;St. Pölten, Spratzern;3100;Spratzern;2;02742/32370;Eisenbahnerstraße 3;323017
St. Pölten-Stadt;NÖ Landeskindergarten;St. Pölten, Stattersdorf;3100;Stattersdorf;4;02742/32321/31;Stattersdorfer Hauptstraße 109;323018
St. Pölten-Stadt;NÖ Landeskindergarten;St. Pölten, St. Georgen am Steinfelde;3151;St. Georgen am Steinfelde;3;02742/32372;Trogergasse 10;323019
St. Pölten-Stadt;NÖ Landeskindergarten;St. Pölten, Viehofen;3107;St. Pölten;4;02742/32354;Karl-Ludwigstraße 9;323020
St. Pölten-Stadt;NÖ Landeskindergarten;St. Pölten, Kupferbrunn;3100;St. Pölten;3;02742/32361;Friedgasse 10;323022
St. Pölten-Stadt;NÖ Landeskindergarten;St. Pölten, Neuviehofen;3100;St. Pölten;6;02742/32356;Otto Glöckelstraße 7;323023
St. Pölten-Stadt;NÖ Landeskindergarten;St. Pölten;3100;St. Pölten;4;02742/32368;Handel Mazzetti-Straße 93;323024
St. Pölten-Stadt;NÖ Landeskindergarten;St. Pölten, St. Georgen-Eggendorf;3151;St. Georgen;3;02742/32373;Unterfeldstraße 6;323029
St. Pölten-Stadt;NÖ Landeskindergarten;St. Pölten, Wagram;3100;Oberwagram;6;02742/32374;Wiesnergasse 28;323030
St. Pölten-Stadt;NÖ Landeskindergarten;St. Pölten, Spratzern;3100;Spratzern;2;02742/32369;Pestalozzistraße 28;323032
St. Pölten-Stadt;NÖ Landeskindergarten;St. Pölten;3107;St. Pölten;3;02742/32355;Dr. Rudolf Kirchschläger-Straße 7;323033
St. Pölten-Stadt;NÖ Landeskindergarten;St. Pölten;3100;St. Pölten;2;02742/32364;Daniel Gran-Straße 47;323101
St. Pölten-Stadt;NÖ Landeskindergarten;St. Pölten;3100;St. Pölten;4;02742/32375;Karl Pfeffer-Gasse 6;323102
Wr. Neustadt-Stadt;NÖ Landeskindergarten;Wr. Neustadt, Im Ungarviertel;2700;Wr. Neustadt;2;0676/883732251;Grünbeckgasse 1;324001
Wr. Neustadt-Stadt;NÖ Landeskindergarten;Wr. Neustadt, Josefstadt;2700;Wr. Neustadt;5;0676/883732253;Andrägasse 11;324003
Wr. Neustadt-Stadt;NÖ Landeskindergarten;Wr. Neustadt, Oskar-Helmer-Kindergarten;2700;Wr. Neustadt;5;0676/883732258;Walthergasse 10;324004
Wr. Neustadt-Stadt;NÖ Landeskindergarten;Wr. Neustadt, Otto Glöckel Schule;2700;Wr. Neustadt;3;0676/88 373 2264;Baurat Schwarzgasse 1;324006
Wr. Neustadt-Stadt;NÖ Landeskindergarten;Wr. Neustadt;2700;Wr. Neustadt;4;0676/883732256;Reyergasse 17;324007
Wr. Neustadt-Stadt;NÖ Landeskindergarten;Wr. Neustadt, Pestalozzi;2700;Wr. Neustadt;4;0676/883732254;Kaisersteingasse 42;324008
Wr. Neustadt-Stadt;NÖ Landeskindergarten;Wr. Neustadt, Flugfeld;2700;Wr. Neustadt;4;0676/883732257;Nittnergasse 8;324009
Wr. Neustadt-Stadt;NÖ Landeskindergarten;Wr. Neustadt;2700;Wr. Neustadt;2;0676/883732262;Schrattensteingasse 28;324010
Wr. Neustadt-Stadt;NÖ Landeskindergarten;Wr. Neustadt;2700;Wr. Neustadt;5;0676/883732260;Bgm. Dr. Haberlgasse 11;324012
Wr. Neustadt-Stadt;NÖ Landeskindergarten;Wr. Neustadt, Porscheviertel;2700;Wr. Neustadt;3;0676/883732255;R. Kumbeingasse 22/17;324013
Wr. Neustadt-Stadt;NÖ Landeskindergarten;Wr. Neustadt, Europahaus;2700;Wr. Neustadt;2;0676/883732261;Promenade 1;324015
Wr. Neustadt-Stadt;NÖ Landeskindergarten;Wr. Neustadt, Franz Michael Bendek;2700;Wr. Neustadt;4;0676/883732263;Hubertusgasse 25a;324019
Wr. Neustadt-Stadt;NÖ Landeskindergarten;Wr. Neustadt;2700;Wr. Neustadt;2;0676/883732269;Ausstellungsgasse 5;324022
Wr. Neustadt-Stadt;NÖ Landeskindergarten;Wr. Neustadt, Am Anemonensee;2700;Wr. Neustadt;7;0676/883732265;Primelgasse 6;324106
Wr. Neustadt-Stadt;NÖ Landeskindergarten;Wr. Neustadt, Dr. Paul Habetin;2700;Wr. Neustadt;2;0676/883732250;Am Kanal 6;324110
Wr. Neustadt-Stadt;NÖ Landeskindergarten;Wr. Neustadt, Prof. Franz Bauer-Theussl;2700;Wr. Neustadt;5;0676/883732267;Emmerich Kalman-Gasse 27;324112
Wr. Neustadt-Stadt;NÖ Landeskindergarten;Wr. Neustadt, Dr. Norbert Wittmann;2700;Wr. Neustadt;6;0676/883732266;Hans Beirergasse 3;324113
Krems-Stadt;NÖ Landeskindergarten;"Krems an der Donau, Stein ""Am Philosophensteig""";3504;Krems-Stein;2;02732/801/348;Maria Grengg Gasse 3;325002
Krems-Stadt;NÖ Landeskindergarten;Krems an der Donau, Jugendzentrum-Lerchenfeld;3500;Krems-Lerchenfeld;4;02732/801/322;Auparkweg 35;325004
Krems-Stadt;NÖ Landeskindergarten;Krems an der Donau;3500;Krems an der Donau;2;02732/801/326;Lerchenfelder Hauptplatz 4;325005
Krems-Stadt;NÖ Landeskindergarten;Krems an der Donau, Altstadt;3500;Krems an der Donau;4;02732/801/343;Hamerlingstraße 8;325006
Krems-Stadt;NÖ Landeskindergarten;Krems an der Donau, Gneixendorf;3500;Krems-Gneixendorf;2;02732/801/332;Wolfsgraben 4;325007
Krems-Stadt;NÖ Landeskindergarten;Krems an der Donau, Brunnkirchen;3506;Krems-Brunnkirchen;2;02732/801/329;Brunnfeldgasse 14;325008
Krems-Stadt;NÖ Landeskindergarten;Krems an der Donau, Mitterau I;3500;Krems an der Donau;4;02732/801/349;Mitteraustraße 1;325009
Krems-Stadt;NÖ Landeskindergarten;Krems an der Donau, Rehberg;3500;Krems-Rehberg;2;02732/801/350;Rehberger Hauptstraße 71;325010
Krems-Stadt;NÖ Landeskindergarten;Krems an der Donau, Stein;3500;Krems-Stein;3;02732/801/344;Göttweigerhofgasse 7;325011
Krems-Stadt;NÖ Landeskindergarten;Krems an der Donau, Mitterau II;3500;Krems an der Donau;2;02732/801/351;St. Paulgasse 10;325012
Krems-Stadt;NÖ Landeskindergarten;Krems an der Donau, Lilienfelderhof;3500;Krems an der Donau;1;02732/801/333;Hohensteinstraße 69;325013
Krems-Stadt;NÖ Landeskindergarten;Krems an der Donau;3500;Krems an der Donau;2;02732/801/331;Hohensteinstraße 71;325100
Waidhofen/Ybbs;NÖ Landeskindergarten;Waidhofen an der Ybbs;3340;Waidhofen an der Ybbs;4;07442/90509;Oberer Stadtplatz 7-8;326001
Waidhofen/Ybbs;NÖ Landeskindergarten;Waidhofen an der Ybbs;3340;Waidhofen an der Ybbs;5;07442/52564;Pocksteinerstraße 33;326002
Waidhofen/Ybbs;NÖ Landeskindergarten;Waidhofen an der Ybbs, Konradsheim 49;3340;Konradsheim;2;07442/20510;;326004
Waidhofen/Ybbs;NÖ Landeskindergarten;Waidhofen an der Ybbs, Raifberg;3340;Waidhofen an der Ybbs;2;07442/53352;Raifberg 12;326005
Waidhofen/Ybbs;NÖ Landeskindergarten;Waidhofen an der Ybbs, Zell an der Ybbs;3340;Zell an der Ybbs;2;07442/52732;Vitzthumstraße 7;326006
Waidhofen/Ybbs;NÖ Landeskindergarten;Waidhofen an der Ybbs, St. Leonhard am Walde;3340;St. Leonhard am Walde 98;1;07442/7353;;326007
Waidhofen/Ybbs;NÖ Landeskindergarten;Waidhofen an der Ybbs, St. Georgen i.d. Klaus;3340;St. Georgen in der Klaus;1;07442/58276;St. Georgner-Straße 35;326008
Waidhofen/Ybbs;NÖ Landeskindergarten;Waidhofen an der Ybbs, Windhag;3340;Windhag;1;07442/55674;Windhag 6;326009
Waidhofen/Ybbs;NÖ Landeskindergarten;Waidhofen/Ybbs, Zell-Arzberg;3340;Zell-Arzberg;2;07442/54760;Oskar Czeija-Straße 14;326010
Krems-Stadt;NÖ Landeskindergarten;Krems an der Donau, Stein;3500;Krems-Stein;1;02732/801/358;Maria Grengg Gasse 6;340001
St. Pölten;NÖ Landeskindergarten;Traismauer, KG IA;3133;Traismauer;5;02783/6449;Untere Traisenlände 2;3170461
St. Pölten;NÖ Landeskindergarten;Traismauer, KG IB;3133;Traismauer;3;02783/8465;Untere Traisenlände 2a;3170462
